emotions,lips,eyes,brow,cheek
x,s,n,t,p
x,s,y,t,a
b,s,w,t,l
x,y,w,t,p
x,s,g,f,n
x,y,y,t,a
b,s,w,t,a
b,y,w,t,l
x,y,w,t,p
b,s,y,t,a
x,y,y,t,l
x,y,y,t,a
b,s,y,t,a
x,y,w,t,p
x,f,n,f,n
s,f,g,f,n
f,f,w,f,n
x,s,n,t,p
x,y,w,t,p
x,s,n,t,p
b,s,y,t,a
x,y,n,t,p
b,y,y,t,l
b,y,w,t,a
b,s,w,t,l
f,s,w,t,p
x,y,y,t,a
x,y,w,t,l
f,f,n,f,n
x,s,y,t,a
b,s,y,t,l
x,y,w,t,p
x,y,y,t,l
x,y,n,t,l
b,y,y,t,l
x,f,y,t,l
s,f,g,f,n
x,y,n,t,p
x,f,y,t,a
b,s,y,t,l
b,y,y,t,a
x,y,y,t,l
x,f,n,f,n
x,y,w,t,p
x,s,y,t,a
x,y,w,t,a
x,y,y,t,l
x,s,w,t,l
x,y,y,t,l
f,y,y,t,l
x,y,n,t,a
x,s,w,t,l
b,s,w,t,l
x,y,n,t,p
x,s,w,t,p
b,y,y,t,a
f,f,g,f,n
b,s,w,t,a
x,s,y,t,l
x,y,n,t,a
s,f,g,f,n
b,y,y,t,a
b,s,y,t,l
b,y,y,t,l
b,y,w,t,l
f,s,n,f,n
x,s,w,t,l
f,y,y,t,a
x,y,y,t,a
x,f,g,f,n
f,f,y,t,l
b,y,w,t,l
f,f,y,t,l
x,y,n,t,a
b,s,y,t,a
f,s,y,t,l
x,s,w,t,l
f,y,n,t,l
x,y,n,t,p
f,y,n,t,a
x,s,n,f,n
x,y,w,t,p
f,f,g,f,n
x,f,g,f,n
x,y,y,t,l
x,s,n,f,n
b,s,w,t,a
x,s,w,t,l
f,y,n,t,l
s,f,n,f,n
x,f,n,f,n
b,s,w,t,l
x,y,y,t,a
x,y,y,t,l
x,s,n,f,n
x,s,w,t,a
f,y,n,t,l
x,s,y,t,a
b,s,w,t,a
x,y,w,t,a
x,f,n,f,n
b,s,y,t,l
f,y,y,t,l
x,y,y,t,a
b,y,w,t,l
x,y,y,t,a
x,y,y,t,a
b,y,w,t,l
b,y,w,t,a
x,s,y,t,a
x,s,y,t,l
s,f,g,f,n
x,f,w,t,a
x,s,y,t,a
x,y,w,t,p
x,y,y,t,l
s,f,g,f,n
x,y,y,t,l
x,s,y,t,l
s,f,n,f,n
x,s,w,t,p
x,y,w,t,a
f,y,n,t,p
f,s,g,f,n
x,s,y,t,l
x,s,w,f,n
b,s,y,t,a
f,f,g,f,n
x,s,w,t,l
b,s,w,t,l
b,s,w,t,l
b,y,w,t,l
f,s,w,t,l
x,y,y,t,l
f,s,w,t,a
x,y,w,t,p
f,f,w,t,l
x,y,y,t,a
x,s,n,t,p
b,s,y,t,l
x,y,n,t,a
b,y,y,t,l
s,f,n,f,n
f,y,n,t,a
x,y,y,t,a
x,f,g,f,n
f,f,w,f,n
x,y,y,t,l
b,s,y,t,l
b,y,w,t,a
x,y,w,t,a
x,s,n,f,n
x,y,w,t,l
s,f,n,f,n
x,s,w,t,a
x,y,n,t,l
b,y,y,t,a
x,y,w,t,a
b,y,w,t,a
b,s,y,t,a
b,s,y,t,l
b,y,y,t,a
x,f,n,f,n
f,y,n,t,l
x,y,w,t,a
f,y,y,t,l
b,s,w,t,a
b,s,w,t,a
x,y,n,t,l
b,s,w,t,a
x,f,g,f,n
b,s,y,t,l
x,f,y,t,l
b,y,y,t,a
f,y,y,t,l
b,y,w,t,l
b,y,w,t,a
b,y,y,t,a
x,y,y,t,l
b,s,y,t,l
x,y,w,t,p
s,f,n,f,n
f,f,n,f,n
x,s,y,t,a
f,y,n,t,a
x,y,w,t,p
b,s,w,t,l
f,f,g,f,n
b,y,y,t,l
x,y,n,t,a
x,f,w,f,n
x,s,w,t,l
b,s,w,t,l
f,s,y,t,a
x,s,y,t,a
f,f,g,f,n
b,s,y,t,a
x,s,w,t,l
x,y,w,t,l
f,s,w,t,a
x,y,y,t,l
b,s,w,t,l
x,s,w,t,a
x,f,w,f,n
f,y,n,t,l
x,s,w,t,p
b,s,w,t,a
b,s,w,t,a
b,y,w,t,l
b,y,w,t,a
x,s,y,t,a
b,s,w,t,l
x,f,y,t,a
x,f,g,f,n
f,y,y,t,a
b,s,w,t,l
x,s,y,t,a
x,y,y,t,a
x,y,w,t,l
s,f,g,f,n
x,s,w,t,a
x,s,w,t,p
x,y,y,t,a
f,f,w,t,a
x,y,w,t,l
b,y,w,t,l
x,s,w,t,a
x,s,y,t,a
x,y,n,t,p
b,s,y,t,a
x,f,g,f,n
x,y,w,t,p
x,y,y,t,l
f,f,n,f,n
b,s,w,t,l
x,f,w,t,l
x,y,w,t,l
b,y,y,t,l
x,y,y,t,l
f,y,y,t,a
f,y,y,t,a
x,s,w,t,l
x,s,w,t,a
x,s,w,t,p
f,f,w,t,a
x,s,w,t,l
x,s,w,t,l
x,y,w,t,a
f,y,y,t,l
x,s,n,f,n
f,y,y,t,a
x,s,n,t,p
s,f,n,f,n
b,y,y,t,l
b,s,w,t,l
b,y,w,t,l
f,f,n,f,n
x,s,w,t,a
b,y,w,t,l
b,y,w,t,a
f,y,n,t,l
x,y,w,t,p
x,s,w,t,a
x,y,w,t,a
f,f,w,t,l
f,f,g,f,n
f,s,g,f,n
x,y,y,t,a
b,s,w,t,a
f,y,n,t,p
x,s,w,t,l
f,s,n,t,p
x,y,w,t,l
x,y,y,t,a
f,y,y,t,a
x,y,n,t,a
f,y,n,t,a
x,y,w,t,a
f,f,n,f,n
x,s,y,t,l
x,y,w,t,p
b,y,y,t,a
s,f,n,f,n
x,s,y,t,l
b,y,w,t,l
f,y,n,t,a
b,y,y,t,a
b,y,w,t,a
x,y,n,t,l
f,f,g,f,n
x,f,g,f,n
b,y,y,t,l
x,s,y,t,l
b,y,w,t,l
x,s,w,t,a
b,s,y,t,a
x,s,y,t,a
x,f,g,f,n
f,s,y,t,a
x,y,w,t,p
x,f,w,f,n
b,y,w,t,a
x,s,y,t,l
b,y,w,t,a
x,y,w,t,l
x,f,n,t,n
b,y,w,t,l
x,s,y,t,l
f,y,n,t,a
x,f,w,f,n
x,s,y,t,l
x,y,w,t,p
x,y,y,t,l
x,f,w,t,a
b,s,y,t,a
x,y,w,t,p
x,s,y,t,a
x,y,w,t,a
x,f,w,t,l
f,s,w,t,l
x,y,y,t,l
f,f,y,t,a
x,s,w,t,a
b,y,y,t,a
x,y,n,t,l
b,y,w,t,l
x,s,y,t,a
x,y,n,t,p
b,s,y,t,l
b,y,w,t,a
x,y,n,t,p
b,s,w,t,l
b,y,y,t,l
b,y,y,t,a
x,y,w,t,l
x,f,n,t,n
x,y,n,t,a
b,s,y,t,l
x,f,g,f,n
x,y,n,t,l
x,s,w,t,a
b,y,w,t,a
x,s,y,t,a
f,f,y,t,a
b,y,y,t,l
x,f,n,f,n
x,f,y,t,l
x,s,y,t,a
f,s,g,f,n
x,f,n,f,n
f,s,g,f,n
f,y,n,t,a
b,y,w,t,a
b,s,y,t,a
x,y,y,t,l
s,f,g,f,n
f,y,n,t,a
x,y,n,t,p
x,y,y,t,a
x,y,y,t,a
x,f,n,f,n
x,f,n,f,n
f,s,n,f,n
f,y,n,t,a
x,s,y,t,a
f,f,n,f,n
x,y,y,t,a
x,f,y,t,a
b,y,y,t,a
x,f,g,f,n
x,y,y,t,a
f,y,n,t,l
x,s,y,t,a
s,f,n,f,n
x,s,w,t,a
b,s,w,t,l
s,f,n,f,n
b,y,y,t,l
x,y,y,t,l
b,y,y,t,a
x,y,n,t,p
x,s,w,f,n
x,y,w,t,a
b,s,w,t,a
x,f,n,t,n
x,s,n,t,p
x,y,n,t,l
x,s,n,f,n
b,y,y,t,l
x,s,y,t,a
b,s,y,t,a
x,s,y,t,l
b,y,w,t,a
x,f,g,f,n
f,y,n,t,a
x,f,g,f,n
x,s,w,t,l
x,y,y,t,l
x,f,g,f,n
x,s,n,t,p
b,y,w,t,l
b,y,w,t,a
x,y,n,t,p
b,s,y,t,l
x,s,w,t,l
x,y,y,t,l
b,y,y,t,l
x,s,w,t,a
x,s,w,t,a
x,y,n,t,l
x,s,w,t,a
x,s,n,f,n
x,y,n,t,l
x,y,y,t,l
x,y,n,t,p
b,y,y,t,a
x,f,w,t,l
x,s,n,t,p
x,y,y,t,l
f,f,g,f,n
x,y,w,t,l
b,y,w,t,a
x,y,n,t,p
f,y,n,t,l
x,s,w,t,l
x,s,w,t,a
f,y,n,t,a
b,s,w,t,a
x,s,w,f,n
f,f,g,f,n
x,y,w,t,a
x,y,y,t,l
b,s,y,t,l
b,s,y,t,l
f,s,w,t,l
b,s,w,t,a
x,f,y,t,a
x,y,w,t,l
b,y,y,t,l
x,y,n,t,a
x,y,w,t,l
x,y,w,t,l
x,y,y,t,a
x,y,w,t,l
x,s,y,t,l
x,y,n,t,l
x,s,w,t,l
f,y,n,t,l
b,s,w,t,l
x,f,n,t,n
x,y,w,t,l
b,s,w,t,l
b,s,y,t,l
x,f,y,t,l
b,s,w,t,l
x,s,g,f,n
b,s,w,t,a
b,s,y,t,l
f,y,y,t,a
f,y,n,t,a
x,s,w,t,a
f,y,y,t,l
b,s,w,t,a
x,y,y,t,a
x,f,n,f,n
f,y,n,t,a
x,s,w,t,a
x,s,y,t,l
b,y,y,t,l
f,y,y,t,a
x,y,y,t,l
x,y,w,t,a
f,f,w,t,a
s,f,g,f,n
f,s,y,t,l
f,f,g,f,n
x,f,n,f,n
b,y,w,t,a
x,s,w,t,a
b,y,y,t,l
b,y,y,t,a
b,y,y,t,l
f,s,w,t,l
f,f,g,f,n
f,s,w,t,a
f,y,y,t,a
x,y,w,t,l
s,f,n,f,n
x,y,n,t,l
x,y,n,t,a
f,f,y,t,a
f,s,n,t,p
x,s,n,t,p
f,y,n,t,l
x,y,y,t,a
b,s,y,t,a
f,f,w,f,n
f,y,n,t,a
x,y,w,t,a
b,s,y,t,l
x,s,y,t,a
b,y,y,t,a
x,s,w,t,l
b,s,y,t,a
b,y,y,t,a
x,s,n,t,p
x,s,g,f,n
f,s,n,f,n
x,f,w,t,a
f,f,g,f,n
f,f,n,f,n
b,y,y,t,a
x,f,w,t,a
s,f,g,f,n
x,f,n,f,n
x,f,w,f,n
x,y,n,t,l
b,s,y,t,a
x,y,w,t,l
x,y,y,t,a
x,s,w,t,l
b,s,w,t,l
f,y,y,t,a
x,s,n,t,p
f,f,g,f,n
b,s,y,t,l
f,y,n,t,a
x,s,y,t,a
x,f,n,f,n
f,y,y,t,a
x,y,n,t,a
x,s,w,t,a
x,y,w,t,p
f,y,n,t,l
f,s,n,t,p
x,f,w,f,n
b,y,w,t,a
s,f,n,f,n
x,y,y,t,l
f,s,w,t,a
x,s,y,t,a
f,f,g,f,n
x,y,w,t,p
x,y,y,t,a
f,f,n,f,n
x,s,w,t,a
b,y,y,t,l
f,f,g,f,n
x,f,y,t,l
x,s,y,t,a
f,f,n,f,n
x,f,g,f,n
x,y,y,t,l
f,s,w,t,l
x,s,y,t,l
f,y,y,t,a
x,y,n,t,p
x,f,w,t,l
x,s,w,t,l
x,y,y,t,a
b,s,y,t,a
x,s,y,t,a
x,s,y,t,a
x,f,w,f,n
b,s,w,t,a
x,y,w,t,p
x,y,y,t,a
f,s,g,f,n
x,s,n,t,p
b,y,w,t,a
x,s,w,t,a
f,f,y,t,l
x,s,y,t,a
b,y,w,t,l
x,y,n,t,a
x,s,y,t,l
x,f,n,f,n
x,s,y,t,l
x,y,y,t,l
x,s,n,t,p
x,s,w,t,a
x,s,y,t,a
x,y,w,t,l
x,y,y,t,a
f,y,y,t,a
x,y,w,t,a
s,f,g,f,n
f,f,n,f,n
s,f,g,f,n
x,y,w,t,a
x,s,w,t,p
x,s,g,f,n
x,y,y,t,l
x,y,w,t,p
x,s,y,t,a
x,s,n,t,p
b,s,y,t,l
b,y,w,t,l
x,y,w,t,p
x,s,n,t,p
x,s,g,f,n
x,y,n,t,l
f,f,w,f,n
f,y,n,t,l
b,y,w,t,l
b,s,w,t,a
x,s,g,f,n
f,y,n,t,a
x,s,w,t,l
f,f,g,f,n
f,s,n,f,n
x,f,g,f,n
f,s,w,f,n
x,s,w,t,p
x,y,y,t,l
b,s,w,t,l
f,f,g,f,n
b,y,w,t,l
b,s,y,t,a
s,f,g,f,n
f,y,y,t,l
b,s,w,t,l
x,f,w,t,l
f,y,y,t,a
f,f,g,f,n
x,s,w,t,l
f,f,y,t,l
s,f,g,f,n
b,y,w,t,a
b,s,w,t,a
f,f,n,f,n
b,y,y,t,a
x,f,n,t,n
x,y,n,t,l
x,y,n,t,a
b,y,y,t,a
f,y,y,t,a
x,y,y,t,l
x,s,n,f,n
x,y,w,t,a
b,y,y,t,l
x,y,n,t,a
f,y,n,t,l
f,y,n,t,a
f,y,y,t,l
x,s,y,t,l
b,y,w,t,a
b,s,w,t,l
x,y,y,t,a
f,f,w,t,l
x,s,y,t,a
b,s,y,t,l
f,y,y,t,a
x,y,n,t,p
x,y,w,t,p
x,s,y,t,l
f,f,w,f,n
b,s,y,t,a
x,y,y,t,l
f,f,g,f,n
b,s,w,t,a
x,s,w,t,l
x,y,n,t,p
x,s,n,t,p
b,s,w,t,l
b,s,y,t,a
f,y,n,t,a
x,y,y,t,l
f,y,y,t,l
x,y,w,t,a
x,s,y,t,a
f,f,n,f,n
f,f,n,f,n
x,f,y,t,l
f,y,y,t,l
f,f,n,f,n
f,f,g,f,n
x,y,n,t,l
x,y,y,t,l
b,s,w,t,a
x,s,w,t,l
x,y,w,t,a
x,f,y,t,a
b,s,y,t,a
x,f,n,t,n
x,y,w,t,a
f,f,g,f,n
b,y,w,t,a
x,y,y,t,l
x,s,w,t,a
b,s,y,t,a
b,y,w,t,l
x,y,n,t,a
f,s,g,f,n
x,y,n,t,p
b,y,w,t,a
b,s,y,t,a
x,y,n,t,p
x,s,n,t,p
f,s,n,f,n
x,s,n,t,p
f,f,g,f,n
x,y,y,t,l
b,y,w,t,l
f,y,y,t,l
f,y,y,t,l
b,y,y,t,l
s,f,n,f,n
x,s,w,t,a
b,y,y,t,a
f,y,y,t,a
f,s,n,f,n
x,s,w,t,l
b,y,y,t,l
b,y,y,t,l
b,y,y,t,a
b,s,w,t,l
x,y,y,t,a
x,y,n,t,a
s,f,n,f,n
f,y,n,t,a
x,s,w,t,a
f,s,y,t,l
x,s,n,f,n
f,y,y,t,a
x,y,n,t,p
x,s,w,t,l
x,f,w,f,n
b,s,w,t,a
x,y,w,t,l
f,y,y,t,l
x,f,n,f,n
x,s,w,t,p
x,y,w,t,p
x,y,w,t,l
b,y,w,t,a
x,f,w,t,a
x,y,w,t,p
x,s,w,t,l
x,f,g,f,n
x,f,n,f,n
b,s,w,t,a
x,y,n,t,a
b,y,w,t,a
f,y,y,t,l
x,y,w,t,l
b,y,w,t,l
b,y,w,t,a
x,s,n,t,p
f,s,y,t,a
x,y,n,t,a
b,s,y,t,l
f,s,w,t,a
b,y,y,t,l
b,y,y,t,a
b,s,y,t,a
f,y,y,t,l
x,s,w,f,n
b,y,y,t,a
x,y,n,t,a
b,s,w,t,l
f,y,n,t,l
x,s,w,t,l
x,f,n,f,n
x,y,n,t,l
f,f,g,f,n
x,s,w,t,l
f,f,n,f,n
b,y,y,t,a
b,s,w,t,a
x,s,w,t,a
b,s,y,t,l
x,y,y,t,a
x,s,y,t,a
f,f,g,f,n
x,y,y,t,a
x,y,n,t,p
x,y,n,t,a
x,s,y,t,l
b,y,w,t,l
x,y,y,t,a
s,f,n,f,n
b,y,y,t,l
x,s,w,t,l
x,s,w,t,a
x,s,n,t,p
x,f,n,f,n
x,y,y,t,l
x,y,n,t,p
x,y,y,t,l
b,y,y,t,l
f,y,n,t,l
x,y,w,t,a
x,s,y,t,a
x,y,n,t,p
x,y,n,t,p
b,y,y,t,l
x,s,w,f,n
x,s,w,t,p
x,y,n,t,l
b,s,w,t,a
x,y,y,t,a
x,s,n,t,p
b,y,y,t,l
b,y,w,t,a
f,y,y,t,l
b,y,w,t,a
x,y,y,t,a
b,s,y,t,l
x,s,y,t,l
b,s,y,t,a
b,s,y,t,a
x,y,w,t,p
x,y,w,t,p
x,s,n,t,p
x,s,w,t,a
x,y,n,t,a
x,y,y,t,a
x,s,w,t,a
b,y,w,t,l
b,s,y,t,l
x,f,g,f,n
b,s,y,t,a
x,s,w,t,l
x,y,n,t,a
x,y,y,t,l
f,f,w,t,l
f,f,w,t,a
x,s,w,t,l
f,s,y,t,l
s,f,g,f,n
f,f,y,t,a
x,y,n,t,l
x,y,y,t,l
x,y,y,t,l
x,s,n,t,p
x,s,y,t,l
x,y,w,t,p
x,y,y,t,a
x,y,w,t,a
f,s,y,t,a
x,y,n,t,p
b,s,w,t,a
s,f,g,f,n
x,s,y,t,a
x,f,g,f,n
x,y,y,t,a
b,y,w,t,l
b,s,y,t,l
x,s,w,t,l
b,s,w,t,l
f,y,n,t,a
s,f,g,f,n
x,f,w,f,n
s,f,n,f,n
f,y,n,t,l
f,s,y,t,l
b,s,y,t,a
b,s,y,t,a
x,s,n,t,p
f,y,n,t,l
x,s,y,t,a
f,y,y,t,a
x,y,w,t,a
x,y,y,t,a
x,y,y,t,l
f,f,n,f,n
f,y,y,t,l
x,f,g,f,n
x,s,y,t,l
f,y,n,t,a
x,s,y,t,l
x,y,y,t,a
x,f,n,t,n
x,s,w,t,a
x,y,y,t,l
x,y,w,t,a
x,s,w,t,l
f,y,y,t,l
b,s,y,t,l
f,f,w,t,a
f,s,g,f,n
x,y,w,t,a
x,y,w,t,l
f,y,y,t,l
x,s,w,t,a
x,s,y,t,a
f,y,y,t,a
x,y,y,t,a
x,s,y,t,l
x,f,n,t,n
f,y,y,t,l
x,s,w,t,a
b,s,y,t,a
x,s,y,t,l
x,y,n,t,l
b,y,y,t,a
x,s,w,t,l
x,y,w,t,l
x,s,y,t,l
f,y,y,t,l
x,f,w,f,n
x,s,n,f,n
x,s,w,f,n
x,s,y,t,l
f,f,w,f,n
f,s,n,t,p
x,f,g,f,n
f,y,n,t,p
x,s,n,t,p
b,s,w,t,l
x,f,g,f,n
x,s,w,t,l
f,f,g,f,n
x,s,g,f,n
x,s,w,t,a
x,s,w,t,l
x,y,g,t,n
f,f,n,f,n
x,s,w,f,n
f,f,n,f,n
x,s,n,f,n
x,y,y,t,l
x,s,y,t,l
f,f,w,f,n
x,s,n,f,n
x,s,g,f,n
x,y,n,t,p
x,f,g,f,n
b,s,w,t,a
x,s,g,f,n
f,f,g,f,n
f,s,n,t,p
x,s,y,t,l
x,f,n,f,n
f,s,w,f,n
x,y,y,t,a
x,f,n,f,n
f,s,g,f,n
x,y,e,t,n
b,y,y,t,a
x,f,w,f,n
x,s,w,t,p
x,f,g,f,n
f,f,g,t,n
f,f,n,f,n
f,f,w,f,n
b,y,w,t,l
f,f,n,f,n
f,y,n,t,p
x,y,w,t,p
b,s,y,t,l
f,s,g,f,n
x,f,g,f,n
f,f,n,f,n
b,s,w,t,l
x,s,w,t,p
x,y,n,t,n
f,f,w,t,l
x,y,y,t,l
x,f,n,f,n
f,f,w,f,n
x,f,n,t,n
x,f,n,t,n
f,s,g,f,n
f,s,g,f,n
f,s,n,t,p
x,f,n,t,n
x,s,n,f,n
x,f,w,f,n
f,f,n,f,n
x,f,n,t,n
f,f,n,t,n
x,f,g,f,n
f,f,n,t,n
x,s,g,f,n
b,y,w,t,l
x,f,n,t,n
x,y,y,t,l
f,f,g,f,n
f,f,n,t,n
x,s,y,t,l
f,f,g,f,n
x,f,n,f,n
x,s,w,t,p
x,f,w,f,n
f,f,w,f,n
x,s,w,f,n
x,s,g,f,n
x,y,y,t,l
x,s,y,t,l
x,s,g,f,n
x,s,n,f,n
f,f,n,f,n
f,s,w,f,n
f,s,w,f,n
x,y,y,t,l
f,s,w,t,a
b,s,w,t,l
f,y,w,t,p
x,f,g,t,n
f,y,n,t,l
f,s,n,f,n
x,s,w,t,p
x,y,n,t,l
x,s,g,f,n
x,s,w,f,n
f,f,w,f,n
x,f,n,f,n
x,s,w,t,l
x,y,w,t,a
x,s,w,f,n
f,y,y,t,a
f,s,n,f,n
f,f,g,f,n
f,f,y,t,a
f,y,n,t,l
x,f,n,t,n
f,s,n,t,p
x,f,n,t,n
f,f,n,f,n
b,s,y,t,a
b,y,w,t,a
x,y,w,t,a
f,y,w,t,p
f,y,w,t,p
x,f,n,f,n
f,s,y,t,l
x,y,y,t,l
x,s,w,f,n
x,f,g,t,n
x,y,n,t,p
x,f,g,f,n
f,f,n,f,n
x,s,w,f,n
f,f,w,f,n
x,y,y,t,a
f,f,y,t,a
x,f,g,f,n
x,s,n,t,p
x,y,y,t,a
f,y,n,t,a
x,f,w,f,n
x,y,n,t,n
x,s,g,f,n
x,s,w,t,a
x,f,g,f,n
f,y,n,t,p
x,f,n,t,n
x,f,g,f,n
x,f,e,t,n
x,f,n,t,n
x,f,g,f,n
x,y,y,t,l
x,f,n,f,n
b,s,y,t,l
x,f,w,t,l
f,s,g,f,n
x,y,y,t,l
x,f,n,f,n
f,s,w,f,n
x,s,y,t,l
x,s,g,f,n
x,f,g,f,n
f,y,w,t,p
f,f,y,t,l
x,y,w,t,a
f,f,w,f,n
x,f,n,t,n
x,y,n,t,l
x,s,w,f,n
f,y,w,t,p
x,s,y,t,a
x,f,g,t,n
f,y,y,t,l
f,s,g,f,n
f,f,n,f,n
f,y,w,t,p
f,f,g,f,n
x,y,n,t,l
f,f,w,f,n
f,y,n,t,p
b,s,y,t,l
f,f,g,f,n
b,s,w,t,l
f,f,g,f,n
b,y,w,t,l
x,y,w,t,l
f,y,n,t,p
x,y,y,t,l
s,f,n,f,n
x,y,n,t,a
f,f,g,f,n
f,f,y,t,l
x,s,g,f,n
f,y,n,t,p
x,f,g,f,n
x,s,g,f,n
x,f,g,f,n
x,y,n,t,p
x,f,n,f,n
f,s,w,f,n
x,f,g,f,n
x,y,n,t,p
f,f,n,f,n
f,s,w,f,n
x,y,w,t,p
f,f,g,f,n
b,y,y,t,l
x,s,n,f,n
f,f,n,f,n
f,s,w,t,p
x,y,n,t,a
f,f,w,f,n
f,y,n,t,l
f,f,g,f,n
f,f,g,f,n
f,s,g,f,n
f,f,n,f,n
x,s,g,f,n
x,f,w,f,n
f,f,w,f,n
x,s,n,f,n
x,f,n,t,n
f,s,y,t,a
x,f,w,f,n
f,s,w,f,n
b,s,y,t,a
x,f,w,f,n
x,f,g,f,n
f,s,n,t,p
x,f,g,f,n
x,s,n,t,p
f,s,w,f,n
x,y,w,t,a
x,f,n,f,n
x,f,n,t,n
b,y,y,t,l
f,f,w,f,n
x,s,n,f,n
f,f,w,f,n
x,f,n,t,n
f,f,w,f,n
x,s,w,f,n
x,s,n,f,n
x,f,w,f,n
f,s,g,f,n
x,f,g,f,n
x,f,g,f,n
f,s,n,f,n
f,s,w,f,n
f,y,n,t,a
x,y,w,t,p
f,s,g,f,n
x,y,w,t,p
b,y,w,t,a
x,s,g,f,n
f,f,g,f,n
